DBAASP_id,strain_name,SMILES,MIC
ce_60,#004,"[1, 163, 163, 158, 163, 77, 15, 114, 163, 114, 163, 171, 165, 163, 114, 163, 171, 163, 77, 163, 15, 163, 36, 77, 15, 158, 158, 163, 163, 158, 163, 15, 163, 163, 163, 70, 25, 163, 15, 163, 36, 77, 70, 118, 51, 70, 25, 1736, 2]",1
ce_61,#004,"[1, 165, 77, 15, 163, 165, 163, 77, 158, 15, 114, 163, 163, 163, 70, 70, 163, 77, 163, 15, 17, 158, 163, 163, 158, 163, 163, 70, 114, 77, 15, 163, 36, 163, 77, 70, 106, 163, 51, 70, 51, 171, 2]",1
ce_62,#004,"[1, 163, 158, 163, 163, 15, 163, 165, 163, 15, 70, 158, 163, 163, 165, 163, 15, 163, 165, 163, 114, 163, 171, 163, 163, 15, 163, 163, 165, 163, 70, 17, 165, 163, 70, 106, 163, 51, 70, 51, 165, 1736, 1736, 2]",1
ce_63,#004,"[1, 163, 163, 158, 163, 77, 15, 114, 163, 114, 163, 171, 113, 163, 114, 163, 171, 163, 77, 163, 77, 15, 25, 163, 77, 70, 114, 70, 77, 165, 163, 165, 70, 25, 379, 2]",1
ce_64,#004,"[1, 163, 165, 163, 145, 70, 17, 158, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 113, 163, 77, 163, 77, 15, 163, 165, 163, 77, 70, 25, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 113, 77, 15, 165, 163, 108, 163, 106, 158, 106, 158, 70, 15, 163, 163, 165, 163, 70, 50, 51, 51, 163, 2640, 2640, 2]",1
ce_65,#004,"[1, 158, 163, 163, 165, 163, 145, 51, 17, 165, 163, 163, 15, 163, 158, 163, 163, 15, 163, 158, 163, 145, 70, 15, 165, 163, 165, 163, 15, 70, 163, 165, 163, 15, 163, 165, 163, 15, 163, 158, 163, 70, 117, 165, 163, 51, 70, 51, 165, 163, 15, 163, 158, 163, 15, 163, 165, 163, 51, 70, 77, 165, 2472, 59, 114, 163, 171, 15, 163, 165, 165, 2]",1
ce_66,#004,"[1, 163, 163, 163, 163, 163, 77, 15, 158, 158, 163, 163, 163, 15, 163, 165, 163, 163, 70, 25, 163, 15, 163, 36, 77, 163, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 51, 70, 145, 163, 51, 70, 114, 40, 117, 2]",1
ce_67,#004,"[1, 163, 163, 1754, 108, 163, 77, 163, 77, 163, 77, 70, 114, 163, 114, 163, 171, 113, 2640, 2]",1
ce_68,#004,"[1, 158, 163, 106, 163, 145, 51, 114, 163, 114, 145, 77, 163, 163, 114, 163, 171, 165, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 163, 108, 163, 70, 158, 70, 17, 77, 108, 51, 70, 117, 2]",1
ce_69,#004,"[1, 163, 163, 163, 158, 145, 51, 145, 163, 77, 15, 163, 36, 163, 15, 163, 36, 77, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 15, 114, 163, 163, 163, 70, 70, 163, 70, 106, 77, 51, 70, 70, 36, 163, 163, 15, 163, 163, 158, 51, 70, 165, 2]",1
ce_70,#004,"[1, 163, 165, 163, 77, 163, 77, 15, 25, 163, 77, 70, 114, 165, 163, 163, 114, 163, 171, 163, 145, 70, 15, 163, 163, 163, 163, 158, 15, 117, 163, 163, 77, 163, 77, 163, 77, 70, 114, 163, 163, 70, 106, 163, 51, 70, 145, 1736, 2]",1
ce_71,#004,"[1, 163, 163, 158, 163, 77, 15, 114, 163, 114, 163, 171, 165, 163, 114, 163, 171, 163, 77, 163, 15, 163, 36, 77, 15, 17, 158, 163, 163, 158, 163, 163, 70, 114, 158, 77, 70, 106, 51, 70, 15, 2]",1
ce_72,#004,"[1, 158, 163, 145, 70, 118, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 165, 77, 15, 163, 126, 163, 108, 163, 70, 106, 70, 117, 163, 77, 163, 77, 163, 77, 70, 114, 2]",1
ce_73,#004,"[1, 163, 158, 15, 163, 163, 163, 163, 165, 163, 15, 17, 163, 77, 163, 77, 163, 77, 70, 114, 163, 77, 163, 77, 163, 77, 70, 114, 1840, 158, 163, 114, 163, 171, 163, 155, 163, 15, 163, 126, 106, 163, 40, 114, 158, 15, 163, 163, 163, 70, 158, 171, 2]",1
ce_74,#004,"[1, 163, 165, 158, 77, 145, 15, 17, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 145, 70, 51, 163, 114, 163, 171, 165, 163, 165, 163, 114, 163, 171, 163, 15, 163, 163, 15, 163, 163, 163, 77, 15, 165, 163, 77, 163, 108, 163, 106, 163, 40, 15, 163, 163, 108, 163, 51, 70, 158, 51, 70, 17, 163, 77, 108, 163, 15, 163, 158, 106, 70, 114, 2]",1
ce_75,#004,"[1, 126, 2472, 77, 163, 163, 15, 25, 163, 163, 163, 163, 70, 15, 163, 163, 114, 163, 171, 158, 70, 165, 163, 163, 163, 163, 158, 163, 163, 158, 15, 17, 163, 106, 163, 77, 163, 106, 70, 114, 163, 163, 70, 158, 2]",1
ce_76,#004,"[1, 163, 165, 158, 77, 145, 15, 163, 163, 114, 163, 171, 158, 163, 163, 114, 163, 171, 158, 163, 15, 114, 163, 114, 163, 171, 113, 77, 145, 70, 163, 163, 108, 163, 106, 163, 114, 163, 171, 163, 15, 163, 113, 106, 158, 70, 145, 163, 163, 108, 163, 51, 70, 25, 51, 70, 51, 163, 77, 108, 163, 15, 163, 158, 106, 70, 114, 2472, 2472, 2472, 2640, 2640, 2]",1
ce_77,#004,"[1, 163, 163, 163, 158, 145, 51, 145, 163, 77, 15, 163, 36, 163, 15, 163, 158, 77, 163, 114, 163, 171, 163, 15, 114, 163, 114, 163, 171, 165, 77, 158, 15, 114, 163, 163, 163, 70, 70, 163, 70, 106, 77, 51, 70, 70, 36, 163, 163, 15, 163, 163, 158, 51, 70, 165, 2]",1
ce_78,#004,"[1, 163, 165, 50, 114, 163, 59, 15, 70, 165, 163, 165, 163, 77, 163, 15, 163, 126, 77, 15, 163, 126, 163, 77, 70, 145, 126, 2]",1
